employee_id,first_name,last_name,age,gender,department,job_title,education,experience_years,salary,attrition,attrition_date,hire_date,technical_background,performance_rating,work_life_balance,overtime,travel_frequently,training_times_last_year
1,Employee1,LastName1,23,Male,Marketing,Marketing Specialist,PhD,9,142080,No,,2015-06-30,No,5,1,No,Yes,0
2,Employee2,LastName2,36,Male,HR,Training Specialist,Master,17,73893,Yes,2024-09-12,2023-07-03,No,4,5,No,Yes,2
3,Employee3,LastName3,43,Female,Marketing,Brand Manager,Bachelor,9,57156,No,,2013-06-27,No,4,1,No,No,9
4,Employee4,LastName4,51,Male,R&D,Senior Engineer,PhD,18,83427,No,,2012-10-19,No,5,3,Yes,Yes,0
5,Employee5,LastName5,40,Male,Marketing,Digital Marketing Specialist,Master,3,104429,No,,2015-03-23,No,3,2,No,No,3
6,Employee6,LastName6,65,Female,Marketing,Product Manager,PhD,3,77087,No,,2023-08-31,No,2,4,No,No,10
7,Employee7,LastName7,65,Male,Marketing,Marketing Specialist,Master,11,97581,No,,2011-04-04,No,3,1,Yes,No,3
8,Employee8,LastName8,47,Female,Marketing,Content Manager,PhD,15,118579,No,,2013-03-16,No,5,3,No,No,5
9,Employee9,LastName9,54,Male,IT,Data Analyst,PhD,16,65969,No,,2012-01-15,Yes,4,5,Yes,No,6
10,Employee10,LastName10,55,Female,Sales,Sales Manager,PhD,9,139466,No,,2022-05-30,No,1,5,No,No,1
11,Employee11,LastName11,32,Female,R&D,Research Manager,Bachelor,15,111542,No,,2010-01-27,No,1,3,Yes,Yes,5
12,Employee12,LastName12,56,Male,Operations,Logistics Manager,Bachelor,17,59662,No,,2010-01-05,No,3,3,Yes,Yes,3
13,Employee13,LastName13,27,Male,Sales,Sales Representative,Bachelor,16,131474,No,,2011-07-21,No,4,5,Yes,No,8
14,Employee14,LastName14,35,Female,Operations,Logistics Manager,PhD,18,130180,No,,2014-07-06,No,3,4,No,Yes,3
15,Employee15,LastName15,43,Male,IT,Software Engineer,Bachelor,1,137778,No,,2023-03-13,Yes,1,2,Yes,Yes,5
16,Employee16,LastName16,39,Male,HR,Training Specialist,PhD,16,106953,No,,2014-10-22,No,2,4,No,Yes,1
17,Employee17,LastName17,44,Female,HR,HR Manager,PhD,14,130649,No,,2019-03-22,No,1,1,No,No,1
18,Employee18,LastName18,34,Male,IT,Full Stack Developer,Bachelor,18,54880,Yes,2021-03-04,2020-01-24,No,4,5,Yes,Yes,10
19,Employee19,LastName19,27,Male,Sales,Account Manager,Bachelor,8,97565,No,,2013-09-24,No,1,2,No,Yes,6
20,Employee20,LastName20,40,Female,R&D,Principal Engineer,Bachelor,14,83890,No,,2022-06-19,No,2,1,Yes,No,0
21,Employee21,LastName21,54,Female,HR,HR Manager,Bachelor,17,53981,Yes,2016-06-17,2013-07-13,No,5,1,Yes,No,1
22,Employee22,LastName22,59,Male,Sales,Account Manager,PhD,20,121503,No,,2010-11-22,No,5,5,No,No,3
23,Employee23,LastName23,37,Female,Marketing,Brand Manager,Master,9,86441,Yes,2022-07-30,2018-11-17,No,1,1,No,Yes,1
24,Employee24,LastName24,54,Male,Sales,Sales Manager,Bachelor,9,93434,No,,2012-12-21,No,3,2,No,No,9
25,Employee25,LastName25,64,Male,Operations,Operations Manager,Bachelor,18,79664,No,,2016-09-18,No,1,1,Yes,No,4
26,Employee26,LastName26,43,Male,Sales,Sales Director,Bachelor,7,57097,No,,2015-12-03,No,4,3,Yes,Yes,5
27,Employee27,LastName27,62,Male,Operations,Logistics Manager,PhD,9,46267,No,,2013-08-16,No,1,1,Yes,Yes,5
28,Employee28,LastName28,49,Male,Sales,Sales Manager,Master,5,72535,No,,2010-12-09,No,2,1,No,No,9
29,Employee29,LastName29,37,Male,Marketing,Marketing Specialist,Bachelor,6,141542,No,,2013-12-21,No,3,4,Yes,No,2
30,Employee30,LastName30,46,Male,Operations,Logistics Manager,Master,2,85001,No,,2020-07-22,No,2,2,Yes,Yes,6
31,Employee31,LastName31,26,Female,R&D,Research Manager,Master,9,48617,No,,2017-11-16,No,1,3,Yes,No,0
32,Employee32,LastName32,44,Female,HR,Training Specialist,Bachelor,11,95488,No,,2019-10-15,No,5,2,No,Yes,6
33,Employee33,LastName33,45,Male,HR,HR Coordinator,PhD,14,86145,No,,2011-07-28,No,1,3,No,No,5
34,Employee34,LastName34,57,Female,Finance,Senior Analyst,PhD,5,143059,No,,2014-04-21,No,2,5,No,No,8
35,Employee35,LastName35,41,Male,Operations,Production Manager,Master,10,102905,No,,2014-09-18,No,4,2,No,Yes,10
36,Employee36,LastName36,54,Female,HR,HR Specialist,PhD,20,85687,Yes,2022-12-08,2017-07-08,No,2,2,Yes,Yes,0
37,Employee37,LastName37,61,Female,IT,Backend Developer,PhD,3,95328,No,,2020-03-19,Yes,4,4,Yes,Yes,10
38,Employee38,LastName38,28,Male,Marketing,Product Manager,Master,14,51582,No,,2014-11-28,No,5,2,Yes,No,2
39,Employee39,LastName39,64,Female,Operations,Logistics Manager,PhD,17,139276,No,,2022-07-15,No,5,4,No,Yes,7
40,Employee40,LastName40,37,Female,Finance,Accountant,Master,9,102654,No,,2021-09-10,No,1,3,Yes,No,5
41,Employee41,LastName41,30,Male,R&D,Senior Engineer,Master,5,98424,Yes,2016-02-15,2015-03-10,Yes,3,5,No,No,0
42,Employee42,LastName42,46,Female,IT,Full Stack Developer,Bachelor,19,91105,No,,2010-06-10,No,3,4,No,Yes,7
43,Employee43,LastName43,49,Female,IT,Backend Developer,Bachelor,16,106261,No,,2010-08-26,No,2,5,Yes,No,9
44,Employee44,LastName44,27,Male,Sales,Sales Representative,Bachelor,14,79099,No,,2013-01-16,No,4,3,Yes,No,5
45,Employee45,LastName45,39,Female,R&D,Research Scientist,PhD,14,115702,No,,2015-08-29,No,1,3,Yes,Yes,10
46,Employee46,LastName46,37,Male,HR,HR Specialist,Bachelor,7,107070,No,,2010-06-16,No,1,5,Yes,No,4
47,Employee47,LastName47,32,Female,Operations,Operations Manager,Bachelor,20,85768,No,,2023-08-15,No,1,5,Yes,No,9
